Population	Latitude	Longitude	Elevation
1	38.9812333	-106.9983333	2989
46	38.98035	-106.9960333	3009
48	38.98215	-107.0013	2951
49	38.9842	-107.0038667	2935
50	38.9795	-107.0005	2934
51	38.9783667	-107.0012	2929
56	39.0023833	-107.00235	3132
57	39.0052667	-107.001	3143
66	38.9796333	-107.00405	2940
67	38.9604333	-106.9924667	2903
68	38.9609	-106.9926833	2904
81	38.9553167	-106.9722833	3095
83	38.9548	-106.9787333	2994
86	38.9554833	-106.9884667	2880
91	38.9535167	-106.9924167	2910
98	38.9668333	-106.9896667	3011
100	38.9708333	-106.9901667	3042
102	38.9761667	-106.9895	3072
106	38.9651667	-106.9934167	2925
107	39.0025	-107.0215	3091
151	38.9891667	-107.0123	2975
154	38.9942333	-107.0146833	2992
156	38.99665	-107.01495	2996
157	38.9969833	-107.0168167	3004
158	38.9961833	-107.0186667	3004
162	39.0003667	-107.0231	3055
174	39.0141833	-107.0454167	3252
185	39.0113833	-107.03395	3411
188	38.9944167	-107.0242667	3126
189	38.9941167	-107.0298833	3273
194	38.9906	-107.0196667	3108
199	39.0068667	-106.9452	3502
200	38.9981167	-106.9812	3447
201	38.9699167	-107.0267333	3352
207	39.0189236	-107.0494972	3218.6
209	38.8702642	-106.9519711	2721.21
210	39.0247619	-107.0506375	3161.3
211	39.0378117	-107.0626272	3121.58
212	39.0407853	-107.0653708	3131
213	38.8830453	-106.9600789	2789.81
214	38.8802844	-106.9977825	2693.59
250	39.0391	-107.0636333	3133
252	39.027	-107.0669457	3444
253	38.9919778	-107.0659389	3460
255	39.0315806	-107.0784611	3341.67
256	38.8664167	-106.9127667	2734.6656
257	38.8738167	-106.9096167	2754.1728
259	38.8758333	-106.9092	2759.964
262	38.8791833	-106.9985	2717.292
263	38.825	-106.86985	2795.3208
267	38.7095319	-106.8015267	2498.61
269	38.9197667	-107.0348	2800
270	38.7256667	-106.8727	2553
271	38.71855	-106.8739333	2708
273	38.885075	-106.9972361	2710
283	38.9514333	-106.991075	2890
303	39.0244444	-107.0880556	3570
304	39.0211111	-107.0933333	3673
328	38.9828333	-107.0458	3660
