Treatment,Temperature,CO2,Tray,Genotype,Population,Elevation,Cohort,OD_transplant,Date_PostVern_Flowering,Date_silique,Height1_flowering,Height2_flowering,Height3_flowering,Height4_flowering,Height5_flowering,Height6_flowering,Height7_flowering,Height8_flowering,SLA_rosette_June22,LDMC_June22_Rosette_DW.FW_g,Lifetime_Flowered,Mature_silique_number_total,Mature_length_siliques_total,Block,Root_Shoot,RMF,Days_to_Flower,Flowering_Duration,Height_flowering
T1,High,High,1,213_1,213,2789.81,1,223,261,293,143,NA,NA,NA,NA,NA,NA,NA,158.5128619,0.392638037,1,13,431.5,1_T1,NA,0.831706282,19,32,143
T1,High,High,1,158_2,158,3004,1,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.4744193,0.336538462,0,0,0,1_T1,NA,0.744940572,NA,NA,NA
T1,High,High,1,270_10,270,2553,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,269_15,269,2800,1,225,262,341,71,NA,NA,NA,NA,NA,NA,NA,84.10442899,0.423558897,1,11,283.4,1_T1,4.227385378,0.808699775,22,79,71
T1,High,High,1,211_13A,211,3121.58,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,48_2,48,2951,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,57_1,57,3143,2,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.3391941,0.329749104,0,0,0,1_T1,NA,0.664110756,NA,NA,NA
T1,High,High,1,98_7,98,3011,1,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,303_8,303,3570,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.2980943,0.398514851,0,0,0,1_T1,NA,0.668807888,NA,NA,NA
T1,High,High,1,253_9,253,3460,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,46_3A,46,3009,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,102_5,102,3072,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,194_2,194,3108,1,223,284,321,77,NA,NA,NA,NA,NA,NA,NA,119.0167255,0.368731563,1,22,607.06,1_T1,2.442708333,0.709531014,42,37,77
T1,High,High,1,98_7,98,3011,1,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,273_18C,273,2710,2,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,304_19A,304,3673,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,252_4,252,3444,1,239,246,255,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,151.4,1_T1,NA,NA,20,9,29
T1,High,High,1,86_2,86,2880,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,270_26,270,2553,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,283_22,283,2890,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,253_9,253,3460,1,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,250_28,250,3133,1,229,254,281,72.5,NA,NA,NA,NA,NA,NA,NA,99.82779367,0.391089109,1,10,346.6,1_T1,NA,0.740177124,18,27,72.5
T1,High,High,1,304_19A,304,3673,2,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.4153394,0.31372549,0,0,0,1_T1,NA,1,NA,NA,NA
T1,High,High,1,56_3,56,3132,1,225,261,278,120,NA,NA,NA,NA,NA,NA,NA,148.9081223,0.320241692,1,8,440.2,1_T1,2.393792825,0.705344418,21,17,120
T1,High,High,1,194_2,194,3108,1,223,267,345,131,NA,NA,NA,NA,NA,NA,NA,106.4109927,0.408268734,1,24,509.4,1_T1,2.066977674,0.67394611,25,78,131
T1,High,High,1,273_37,273,2710,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,86_2,86,2880,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,67_4,67,2903,1,223,284,308,95,NA,NA,NA,NA,NA,NA,NA,107.1318258,0.465217391,1,12,150.35,1_T1,0.649359886,0.393704183,42,24,95
T1,High,High,1,151_3,151,2975,1,223,273,351,184,NA,NA,NA,NA,NA,NA,NA,121.806116,0.391304348,1,28,547.4,1_T1,0.561184578,0.359460749,31,78,184
T1,High,High,1,51_1,51,2929,2,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,156_5,156,2996,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,214_7,214,2693.59,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,262_3,262,2717.292,2,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,102_5,102,3072,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,211_13A,211,3121.58,1,223,262,280,74,NA,NA,NA,NA,NA,NA,NA,130.5368858,0.47972973,1,9,347.5,1_T1,2.372881356,0.703517588,20,18,74
T1,High,High,1,213_1,213,2789.81,1,223,263,357,154,NA,NA,NA,NA,NA,NA,NA,122.6300857,0.3878327,1,18,510.1,1_T1,0.589923843,0.371039057,21,94,154
T1,High,High,1,283_11,283,2890,2,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,267_12,267,2498.61,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,283_22,283,2890,1,225,262,273,117,NA,NA,NA,NA,NA,NA,NA,181.583619,0.347639485,1,9,204.8,1_T1,3.105155692,0.75640388,22,11,117
T1,High,High,1,151_3,151,2975,1,223,275,345,153,NA,NA,NA,NA,NA,NA,NA,137.0642892,0.373493976,1,42,600.84,1_T1,0.756545821,0.430700874,33,70,153
T1,High,High,1,210_3,210,3161.3,1,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,250_28,250,3133,1,229,258,323,50,NA,NA,NA,NA,NA,NA,NA,126.4599052,0.411538462,1,17,286.2,1_T1,5.021156559,0.833918951,22,65,50
T1,High,High,1,107_4,107,3091,1,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.4789616,0.456521739,0,0,0,1_T1,NA,0.930612245,NA,NA,NA
T1,High,High,1,270_10,270,2553,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,270_26,270,2553,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,253_9,253,3460,1,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,157_3,157,3004,2,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,210_3,210,3161.3,2,248,250,275,40,NA,NA,NA,NA,NA,NA,NA,77.63755075,0.39800995,1,5,50.33,1_T1,NA,0.736218302,33,25,40
T1,High,High,1,200_1,200,3447,1,223,275,307,53,54,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1_T1,NA,NA,33,32,107
T1,High,High,1,151_3,151,2975,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,328_2,328,3660,1,225,262,278,34,NA,NA,NA,NA,NA,NA,NA,95.06786254,0.0342711,1,10,353.1,1_T1,0.537087379,0.349418898,22,16,34
T1,High,High,1,154_5,154,2992,2,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,49_2,49,2935,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,210_3,210,3161.3,2,248,243,NA,52,NA,NA,NA,NA,NA,NA,NA,93.40335082,0.041428571,1,11,210.1,1_T1,1.484029484,0.597428289,26,NA,52
T1,High,High,1,68_1,68,2904,2,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,262_3,262,2717.292,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,1_3,1,2989,1,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,91_2,91,2910,1,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,50_1,50,2934,2,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,83_1,83,2994,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,86_2,86,2880,1,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,269_15,269,2800,1,225,258,367,49,NA,NA,NA,NA,NA,NA,NA,71.29822825,0.42632613,1,17,275.3,1_T1,5.52722063,0.846795435,18,109,49
T1,High,High,1,201_2,201,3352,1,223,262,275,109,NA,NA,NA,NA,NA,NA,NA,87.88812318,0.370307167,1,6,235.4,1_T1,2.219761499,0.689417989,20,13,109
T1,High,High,1,259_19C,259,2759.964,1,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,250_16,250,3133,2,257,232,331,89,NA,NA,NA,NA,NA,NA,NA,102.2643884,0.386792453,1,32,715.3,1_T1,1.495026054,0.599202582,24,99,89
T1,High,High,1,86_2,86,2880,1,223,269,308,162,NA,NA,NA,NA,NA,NA,NA,105.641737,0.389767442,1,14,376,1_T1,2.267581475,0.693963255,27,39,162
T1,High,High,1,303_8,303,3570,1,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,303_8,303,3570,1,225,260,294,52,NA,NA,NA,NA,NA,NA,NA,126.7328699,0.309405941,1,8,179.3,1_T1,1.035304659,0.508673065,20,34,52
T1,High,High,1,250_28,250,3133,1,229,254,274,56,NA,NA,NA,NA,NA,NA,NA,105.8399713,0.377862595,1,6,215.8,1_T1,1.630896226,0.61990139,18,20,56
T1,High,High,1,212_7,212,3131,1,223,267,308,77,NA,NA,NA,NA,NA,NA,NA,129.8126147,0.389312977,1,20,343.2,1_T1,2.304216867,0.697356427,25,41,77
T1,High,High,1,107_4,107,3091,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,200_1,200,3447,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,81_1,81,3095,1,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,67_4,67,2903,1,223,263,351,201,NA,NA,NA,NA,NA,NA,NA,109.0528635,0.383802817,1,21,695.9,1_T1,0.595867461,0.373381547,21,88,201
T1,High,High,1,209_5,209,2721.21,1,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,269_15,269,2800,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
T1,High,High,1,199_1,199,3502,1,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1_T1,NA,NA,NA,NA,NA
